Title,Rank,Genre,Description,Director,Actors,Year,Runtime(Minutes),Rating,Votes,Revenue(Millions),Metascore
Guardians of the Galaxy,1,"Action,Adventure,Sci-Fi","An action-packed, epic space adventure, Marvel's ""Guardians of the Galaxy,"" expands the Marvel Cinematic Universe into the cosmos, where brash adventurer Peter Quill finds himself the object of an unrelenting bounty hunt after stealing a mysterious orb coveted by Ronan, a powerful villain with ambitions that threaten the entire universe. To evade the ever-persistent Ronan, Quill is forced into an uneasy truce with a quartet of disparate misfits--Rocket, a gun-toting raccoon; Groot, a tree-like humanoid; the deadly and enigmatic Gamora; and the revenge-driven Drax the Destroyer. But when Quill discovers the true power of the orb and the menace it poses to the cosmos, he must do his best to rally his ragtag rivals for a last, desperate stand--with the galaxy's fate in the balance.",James Gunn,"Chris Pratt,Zoe Saldaña,James Gunn,Dave Bautista,Karen Gillan,Vin Diesel",2014,121,8.1,757074,333.13,76
Prometheus,2,"Adventure,Mystery,Sci-Fi","The discovery of a clue to mankind's origins on Earth leads a team of explorers to the darkest parts of the universe. Two brilliant young scientists lead the expedition. Shaw (Noomi Rapace) hopes that they will meet a race of benevolent, godlike beings who will in some way verify her religious beliefs, while Holloway (Logan Marshall-Green) is out to debunk any spiritual notions. However, neither the scientists nor their shipmates are prepared for the unimaginable terrors that await them.",Ridley Scott,"Noomi Rapace,Michael Fassbender,Charlize Theron,Idris Elba,Guy Pearce,Logan Marshall-Green",2012,124,7,485820,126.46,65
Split,3,"Horror,Thriller","Though Kevin (James McAvoy) has evidenced 23 personalities to his trusted psychiatrist, Dr. Fletcher (Betty Buckley), there remains one still submerged who is set to materialize and dominate all of the others. Compelled to abduct three teenage girls led by the willful, observant Casey, Kevin reaches a war for survival among all of those contained within him -- as well as everyone around him -- as the Though Kevin (James McAvoy) has evidenced 23 personalities to his trusted psychiatrist, Dr. Fletcher (Betty Buckley), there remains one still submerged who is set to materialize and dominate all of the others. Compelled to abduct three teenage girls led by the willful, observant Casey, Kevin reaches a war for survival among all of those contained within him -- as well as everyone around him -- as the walls between his compartments shatter.",M. Night Shyamalan,"James McAvoy,Anya Taylor,Betty Buckley,Haley Lu Richardson,Jessica Sula,Izzie Coffey",2016,117,7.3,157606,138.12,62
Sing,4,"Animation,Comedy,Family","Dapper Koala Buster Moon presides over a once-grand theater that has fallen on hard times. An eternal optimist, and a bit of a scoundrel, he loves his theater above all and will do anything to preserve it. Facing the crumbling of his life's ambition, he takes one final chance to restore his fading jewel to its former glory by producing the world's greatest singing competition. Five contestants emerge: a mouse, a timid elephant, a pig, a gorilla and a punk-rock porcupine.",Christophe Lourdelet,"Matthew McConaughey,Reese Witherspoon,Seth MacFarlane,Scarlett Johanson,John C. Reilly,Taron Egerton",2016,108,7.2,60545,270.32,59
Suicide Squad,5,"Action,Adventure,Fantasy","Figuring they're all expendable, a U.S. intelligence officer decides to assemble a team of dangerous, incarcerated supervillains for a top-secret mission. Now armed with government weapons, Deadshot (Will Smith), Harley Quinn (Margot Robbie), Captain Boomerang, Killer Croc and other despicable inmates must learn to work together. Dubbed Task Force X, the criminals unite to battle a mysterious and powerful entity, while the diabolical Joker (Jared Leto) launches an evil agenda of his own.",David Ayer,"Will Smith,Jared Leto,Margot Robbie,Joel Kinnaman,Viola Davis,Jai Courtney",2016,123,6.2,393727,325.02,40
Spider Man: No way home,6,"Action,Superhero,Fantasy","For the first time in the cinematic history of Spider-Man, our friendly neighborhood hero's identity is revealed, bringing his Super Hero responsibilities into conflict with his normal life and putting those he cares about most at risk. When he enlists Doctor Strange's help to restore his secret, the spell tears a hole in their world, releasing the most powerful villains who've ever fought a Spider-Man in any universe. Now, Peter will have to overcome his greatest challenge yet, which will not only forever alter his own future but the future of the Multiverse.",Jon Watts,"Tom Holland,Zendaya,Benedict Cumberbatch,Jacob Batalon,Jon Favreau,Jamie Foxx,Willem Dafoe,Alfred Molina,Andrew Garfield, Tobey Mcguire",2021,148,9.3,958708,802.71,98
The Batman,7,"Action,Superhero,Mystery","Batman ventures into Gotham City's underworld when a sadistic killer leaves behind a trail of cryptic clues. As the evidence begins to lead closer to home and the scale of the perpetrator's plans become clear, he must forge new relationships, unmask the culprit and bring justice to the abuse of power and corruption that has long plagued the metropolis.",Matt Reeves,"Robert Pattinson,Zoe Kravitz,Jeffrey Wright,Colin Farrell,Paul Dano,John Turturro",2022,176,8.5,29785,349.21,88
Morbius,8,"Action,Superhero,Fantasy","One of the most compelling and conflicted characters in Sony Pictures Universe of Marvel Characters comes to the big screen as Oscar® winner Jared Leto transforms into the enigmatic antihero Michael Morbius. Dangerously ill with a rare blood disorder and determined to save others suffering his same fate, Dr. Morbius attempts a desperate gamble. While at first it seems to be a radical success, a darkness inside him is unleashed. Will good override evil -- or will Morbius succumb to his mysterious new urges?",Daniel Espinosa,"Jared Leto,Matt Smith,Adria Arjona",2022,104,1.7,,39.1,70
