Genre,Global_players
Action,28.14
Adventure,0.65
Fighting,15.540000000000001
Misc,13.27
Platform,13.36
Puzzle,1.23
Racing,14.36
Role-Playing,24.89
Shooter,3.6999999999999997
Simulation,1.49
Sports,30.18
Strategy,6.39
